Shipment_ID,Region,Transport_Mode,Priority,Shipment_Volume_kg,Distance_km,Delivery_Time_days,Transport_Cost_INR,Delay_Status,Customer_Rating
SHP1199,North,Road,Standard,232,1092,3.7,13223.2,Delayed,3.7
SHP1200,East,Air,Express,184,67,1.0,1413.93,On Time,4.6
SHP1201,East,Rail,Express,24,818,2.7,755.47,On Time,4.2
SHP1202,West,Road,Standard,358,639,2.5,10866.85,On Time,4.6
SHP1203,East,Rail,Express,398,1444,4.7,18865.59,Delayed,3.4
SHP1204,North,Road,Standard,97,1248,2.5,6004.74,Delayed,3.9
SHP1205,West,Road,Standard,429,1059,3.3,24784.67,On Time,4.3
SHP1206,North,Road,Standard,81,243,1.8,950.28,On Time,4.3
SHP1207,West,Rail,Express,151,551,2.9,3206.57,On Time,3.5
SHP1208,West,Road,Standard,108,1037,2.2,6480.59,On Time,4.3
SHP1209,South,Road,Standard,256,1186,4.8,14249.27,On Time,4.2
SHP1210,North,Road,Standard,61,163,1.7,538.45,On Time,4.6
SHP1211,East,Road,Standard,108,1295,4.0,7174.54,On Time,4.2
SHP1212,East,Air,Standard,421,1751,3.5,92264.86,On Time,3.9
SHP1213,North,Rail,Standard,315,996,4.4,10708.92,On Time,4.2
SHP1214,East,Road,Standard,347,880,3.0,16612.8,On Time,4.1
SHP1215,East,Road,Standard,314,1717,5.6,30310.17,On Time,4.0
SHP1216,North,Road,Standard,123,1970,4.0,13944.65,Delayed,3.8
SHP1217,West,Road,Standard,33,1337,4.0,2395.19,On Time,3.9
SHP1218,North,Road,Standard,307,974,3.5,15538.39,Delayed,3.6
SHP1219,West,Road,Standard,198,104,1.3,1101.07,On Time,4.5
SHP1220,East,Road,Express,144,1944,4.0,15845.48,On Time,4.1
SHP1221,East,Rail,Standard,441,1716,5.1,28474.47,On Time,3.8
SHP1222,East,Rail,Standard,372,849,3.8,10368.58,On Time,3.9
SHP1223,South,Road,Standard,42,827,1.4,1992.98,On Time,4.4
SHP1224,West,Road,Standard,82,1531,5.0,6825.13,On Time,4.4
SHP1225,South,Rail,Standard,162,1951,5.5,12189.7,On Time,3.8
SHP1226,South,Road,Standard,500,211,1.7,5111.65,On Time,4.4
SHP1227,North,Air,Standard,172,1453,3.5,29836.28,On Time,4.2
SHP1228,South,Rail,Standard,164,136,1.9,804.23,On Time,4.1
SHP1229,North,Road,Standard,244,104,1.3,1367.45,On Time,4.0
SHP1230,North,Road,Standard,469,1549,2.7,34210.19,Delayed,3.7
SHP1231,South,Rail,Standard,481,1873,6.3,34596.56,On Time,3.9
SHP1232,West,Road,Standard,328,1251,4.6,23894.5,On Time,4.1
SHP1233,West,Road,Standard,123,1464,2.8,8348.44,Delayed,4.1
SHP1234,West,Air,Standard,123,1422,2.8,22417.7,On Time,4.3
SHP1235,West,Road,Standard,454,1081,2.4,24950.07,On Time,4.3
SHP1236,West,Road,Standard,58,882,2.8,2896.81,Delayed,3.8
SHP1237,South,Rail,Express,454,362,2.4,6492.99,On Time,4.5
SHP1238,South,Road,Standard,217,808,3.6,9264.12,On Time,3.9
SHP1239,East,Road,Standard,153,1908,5.9,16048.77,On Time,3.6
SHP1240,West,Air,Express,86,492,1.5,5307.91,On Time,4.6
SHP1241,South,Road,Express,410,1840,3.9,38326.29,On Time,3.8
SHP1242,East,Air,Standard,198,377,1.0,8227.94,On Time,5.0
SHP1243,West,Air,Standard,475,1127,2.5,64038.56,On Time,4.3
SHP1244,North,Road,Express,61,810,2.5,2759.15,On Time,4.4
SHP1245,East,Road,Standard,467,1312,2.8,33866.18,Delayed,3.7
SHP1246,South,Road,Standard,34,1302,5.1,2466.47,Delayed,3.6
SHP1247,North,Road,Standard,130,628,3.2,4179.65,On Time,4.1
SHP1248,North,Road,Standard,176,1124,3.3,11071.53,On Time,4.1
SHP1249,North,Rail,Standard,308,1682,4.8,17420.91,On Time,4.2
SHP1250,East,Road,Standard,497,1677,4.0,43803.15,On Time,4.0
